Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
10,1,N,N,F,1,1,61.483,61.462,59.811,59.783,61.4725,59.797,0.3351
10,1,N,N,F,1,2,61.359,61.348,59.535,59.584,61.3535,59.5595,0.3588
10,1,N,N,F,2,1,75.151,75.162,73.459,73.431,75.1565,73.445,0.3423
10,1,N,N,F,2,2,68.178,68.189,66.679,66.613,68.1835,66.646,0.3075
10,1,N,N,F,3,1,70.04,70.01,68.197,68.342,70.025,68.2695,0.3511
10,1,N,N,F,3,2,66.258,66.255,64.607,64.542,66.2565,64.5745,0.3364
10,1,N,N,F,4,1,63.029,63.018,61.346,61.3,63.0235,61.323,0.3401
10,1,N,N,F,4,2,57.907,57.898,56.182,56.221,57.9025,56.2015,0.3402
10,2,N,N,M,1,1,76.569,76.599,75.639,75.591,76.584,75.615,0.1938
10,2,N,N,M,1,2,72.547,72.544,71.437,71.456,72.5455,71.4465,0.2198
10,2,N,N,M,2,1,73.488,73.46,72.35,72.314,73.474,72.332,0.2284
10,2,N,N,M,2,2,74.525,74.516,73.313,73.333,74.5205,73.323,0.2395
10,2,N,N,M,3,1,68.691,68.649,67.585,67.595,68.67,67.59,0.216
10,2,N,N,M,3,2,65.719,65.69,64.699,64.642,65.7045,64.6705,0.2068
10,2,N,N,M,4,1,66.983,66.995,65.953,65.955,66.989,65.954,0.207
10,2,N,N,M,4,2,65.82,65.78,64.687,64.673,65.8,64.68,0.224
10,3,Y,N,F,1,1,89.742,89.738,87.88,87.94,89.74,87.91,0.366
10,3,Y,N,F,1,2,63.47,63.4,61.393,61.421,63.435,61.407,0.4056
10,3,Y,N,F,2,1,72.827,72.846,70.927,70.919,72.8365,70.923,0.3827
10,3,Y,N,F,2,2,61.207,61.142,59.088,59.047,61.1745,59.0675,0.4214
10,3,Y,N,F,3,1,77.817,77.814,75.826,75.795,77.8155,75.8105,0.401
10,3,Y,N,F,3,2,54.189,54.126,52.26,52.253,54.1575,52.2565,0.3802
10,3,Y,N,F,4,1,75.438,75.352,73.362,73.29,75.395,73.326,0.4138
10,3,Y,N,F,4,2,68.071,68.063,66.066,66.085,68.067,66.0755,0.3983
10,4,Y,N,M,1,1,67.595,67.576,66.497,66.53,67.5855,66.5135,0.2144
10,4,Y,N,M,1,2,80.008,79.972,78.84,78.836,79.99,78.838,0.2304
10,4,Y,N,M,2,1,69.334,69.283,68.195,68.211,69.3085,68.203,0.2211
10,4,Y,N,M,2,2,74.416,74.421,73.29,73.314,74.4185,73.302,0.2233
10,4,Y,N,M,3,1,65.648,65.662,64.484,64.472,65.655,64.478,0.2354
