Vial ID,Sex,Virgin,Yeast,Density,Total,Day,Event
1,F,Y,N,20,23,3,1.0
1,F,Y,N,20,23,4,1.0
1,F,Y,N,20,23,6,1.0
1,F,Y,N,20,23,12,1.0
1,F,Y,N,20,23,20,1.0
1,F,Y,N,20,23,22,1.0
1,F,Y,N,20,23,25,1.0
1,F,Y,N,20,23,31,1.0
1,F,Y,N,20,23,49,1.0
1,F,Y,N,20,23,49,1.0
1,F,Y,N,20,23,50,1.0
1,F,Y,N,20,23,56,1.0
1,F,Y,N,20,23,56,1.0
1,F,Y,N,20,23,57,1.0
1,F,Y,N,20,23,61,1.0
1,F,Y,N,20,23,61,1.0
1,F,Y,N,20,23,62,1.0
1,F,Y,N,20,23,62,1.0
1,F,Y,N,20,23,62,1.0
1,F,Y,N,20,23,66,1.0
1,F,Y,N,20,23,68,1.0
1,F,Y,N,20,23,73,1.0
1,F,Y,N,20,23,73,1.0
2,F,Y,N,20,17,33,1.0
2,F,Y,N,20,17,54,1.0
2,F,Y,N,20,17,66,1.0
2,F,Y,N,20,17,71,1.0
2,F,Y,N,20,17,71,1.0
2,F,Y,N,20,17,71,1.0
2,F,Y,N,20,17,71,1.0
2,F,Y,N,20,17,73,1.0
2,F,Y,N,20,17,73,1.0
2,F,Y,N,20,17,74,1.0
2,F,Y,N,20,17,74,1.0
2,F,Y,N,20,17,75,1.0
2,F,Y,N,20,17,77,1.0
2,F,Y,N,20,17,77,1.0
2,F,Y,N,20,17,78,1.0
2,F,Y,N,20,17,79,1.0
2,F,Y,N,20,17,84,1.0
3,F,Y,N,20,12,17,1.0
3,F,Y,N,20,12,54,1.0
3,F,Y,N,20,12,66,1.0
3,F,Y,N,20,12,68,1.0
3,F,Y,N,20,12,70,1.0
3,F,Y,N,20,12,73,1.0
3,F,Y,N,20,12,74,1.0
3,F,Y,N,20,12,74,1.0
3,F,Y,N,20,12,78,1.0
3,F,Y,N,20,12,79,1.0
3,F,Y,N,20,12,80,1.0
3,F,Y,N,20,12,80,1.0
4,F,Y,N,20,13,3,1.0
4,F,Y,N,20,13,68,1.0
4,F,Y,N,20,13,69,1.0
4,F,Y,N,20,13,73,1.0
4,F,Y,N,20,13,73,1.0
4,F,Y,N,20,13,74,1.0
4,F,Y,N,20,13,74,1.0
4,F,Y,N,20,13,75,1.0
4,F,Y,N,20,13,75,1.0
4,F,Y,N,20,13,75,1.0
4,F,Y,N,20,13,77,1.0
4,F,Y,N,20,13,78,1.0
4,F,Y,N,20,13,81,1.0
4,F,Y,N,20,13,88,1.0
5,F,Y,N,20,18,41,1.0
5,F,Y,N,20,18,49,1.0
5,F,Y,N,20,18,51,1.0
5,F,Y,N,20,18,53,1.0
